WL,F
5168.457519531249,3078780.0
5169.707519531249,3431404.8
5170.957519531249,3459668.0
5172.207519531249,3006288.5
5173.457519531249,2989295.0
5174.707519531249,3578469.5
5175.957519531249,3961093.0
5177.207519531249,4045263.2
5178.457519531249,4075443.8
5179.707519531249,4036618.5
5180.957519531249,3884676.5
5182.207519531249,3437205.2
5183.457519531249,2851381.5
5184.707519531249,2932722.0
5185.957519531249,3534572.5
5187.207519531249,3855485.2
5188.457519531249,3856190.5
5189.707519531249,3893520.5
5190.957519531249,3824239.0
5192.207519531249,3601485.5
5193.457519531249,3679729.0
5194.707519531249,3779125.5
5195.957519531249,3742201.0
5197.207519531249,3847067.5
5198.457519531249,3996820.2
5199.707519531249,4131338.2
5200.957519531249,4138090.0
5202.207519531249,4046385.5
5203.457519531249,3954597.2
5204.707519531249,3766450.0
5205.957519531249,3632499.0
5207.207519531249,3651822.2
5208.457519531249,3621402.5
5209.707519531249,3706383.8
5210.957519531249,3899062.2
5212.207519531249,4011126.5
5213.457519531249,4040995.0
5214.707519531249,3894566.5
5215.957519531249,3718834.0
5217.207519531249,3708019.8
5218.457519531249,3846425.2
5219.707519531249,3986635.8
5220.957519531249,4022252.5
5222.207519531249,4008993.5
5223.457519531249,3962449.0
5224.707519531249,3821211.8
5225.957519531249,3525764.0
5227.207519531249,3336836.0
5228.457519531249,3541927.5
5229.707519531249,3774226.5
5230.957519531249,3856477.5
5232.207519531249,3761793.2
5233.457519531249,3624289.0
5234.707519531249,3672350.0
5235.957519531249,3780014.0
5237.207519531249,3915957.5
5238.457519531249,4021872.5
5239.707519531249,4014901.2
5240.957519531249,3972987.5
5242.207519531249,3904647.8
5243.457519531249,3870152.0
5244.707519531249,3946647.0
5245.957519531249,3958361.5
5247.207519531249,3853093.5
5248.457519531249,3817362.2
5249.707519531249,3783890.0
5250.957519531249,3752634.2
5252.207519531249,3808812.8
5253.457519531249,3813724.2
5254.707519531249,3748472.0
5255.957519531249,3812658.0
5257.207519531249,3945227.5
5258.457519531249,3988288.0
5259.707519531249,3964097.2
5260.957519531249,3822078.2
5262.207519531249,3594874.0
5263.457519531249,3417651.5
5264.707519531249,3308035.5
5265.957519531249,3233763.2
5267.207519531249,3352749.2
5268.457519531249,3392060.5
5269.707519531249,3149250.5
5270.957519531249,3257944.5
5272.207519531249,3581811.5
5273.457519531249,3636808.5
5274.707519531249,3573998.0
5275.957519531249,3577971.0
5277.207519531249,3757135.5
5278.457519531249,3891084.5
5279.707519531249,3847819.8
5280.957519531249,3726256.5
5282.207519531249,3624978.5
5283.457519531249,3545673.5
5284.707519531249,3610775.5
5285.957519531249,3831205.8
5287.207519531249,3934188.0
5288.457519531249,3920642.5
5289.707519531249,3941347.8
5290.957519531249,3977755.0
5292.207519531249,3944509.2
5293.457519531249,3900518.2
5294.707519531249,3882825.0
5295.957519531249,3797859.0
5297.207519531249,3598602.2
5298.457519531249,3519952.8
5299.707519531249,3664208.8
5300.957519531249,3736598.5
5302.207519531249,3697490.5
5303.457519531249,3765830.0
5304.707519531249,3874932.5
5305.957519531249,3879096.8
5307.207519531249,3825104.0
5308.457519531249,3830908.5
5309.707519531249,3890790.5
5310.957519531249,3925588.0
5312.207519531249,3909830.5
5313.457519531249,3877625.2
5314.707519531249,3839647.0
5315.957519531249,3736475.2
5317.207519531249,3674691.2
5318.457519531249,3748240.8
5319.707519531249,3804426.5
5320.957519531249,3782040.8
5322.207519531249,3729746.5
5323.457519531249,3586625.0
5324.707519531249,3491796.8
5325.957519531249,3565550.2
5327.207519531249,3418631.2
5328.457519531249,3150799.2
5329.707519531249,3311623.5
5330.957519531249,3635875.0
5332.207519531249,3711465.2
5333.457519531249,3708582.5
5334.707519531249,3774141.5
5335.957519531249,3789995.5
5337.207519531249,3742355.5
5338.457519531249,3707823.0
5339.707519531249,3561971.5
5340.957519531249,3458256.5
5342.207519531249,3576030.2
5343.457519531249,3697622.2
5344.707519531249,3707697.5
5345.957519531249,3664628.5
5347.207519531249,3659118.5
5348.457519531249,3620872.0
5349.707519531249,3588444.5
5350.957519531249,3679949.0
5352.207519531249,3743607.0
5353.457519531249,3733669.8
5354.707519531249,3788928.0
5355.957519531249,3852923.0
5357.207519531249,3854516.2
5358.457519531249,3841592.5
5359.707519531249,3825452.0
5360.957519531249,3783829.0
5362.207519531249,3695730.0
5363.457519531249,3633122.0
5364.707519531249,3563656.5
5365.957519531249,3541715.5
5367.207519531249,3567308.5
5368.457519531249,3552166.0
5369.707519531249,3452071.5
5370.957519531249,3299961.0
5372.207519531249,3376877.5
5373.457519531249,3578944.5
5374.707519531249,3708544.2
5375.957519531249,3750338.2
5377.207519531249,3713159.8
5378.457519531249,3686340.0
5379.707519531249,3661050.5
5380.957519531249,3629086.0
5382.207519531249,3581534.0
5383.457519531249,3521685.8
5384.707519531249,3597919.0
5385.957519531249,3685842.2
5387.207519531249,3668847.0
5388.457519531249,3637517.0
5389.707519531249,3575635.5
5390.957519531249,3521298.0
5392.207519531249,3480596.2
5393.457519531249,3463102.2
5394.707519531249,3502210.2
5395.957519531249,3483766.5
5397.207519531249,3365509.2
5398.457519531249,3382552.8
5399.707519531249,3466476.5
5400.957519531249,3489585.2
5402.207519531249,3538724.8
5403.457519531249,3427914.0
5404.707519531249,3219701.2
5405.957519531249,3189885.0
5407.207519531249,3338111.8
5408.457519531249,3440121.2
5409.707519531249,3371149.8
5410.957519531249,3341869.2
5412.207519531249,3468689.5
5413.457519531249,3531366.5
5414.707519531249,3454131.0
5415.957519531249,3466287.0
5417.207519531249,3567552.0
5418.457519531249,3590315.2
5419.707519531249,3542801.0
5420.957519531249,3501391.5
5422.207519531249,3511799.0
5423.457519531249,3432984.0
5424.707519531249,3354646.0
5425.957519531249,3500238.2
5427.207519531249,3625481.0
5428.457519531249,3519639.5
5429.707519531249,3317327.8
5430.957519531249,3374367.5
5432.207519531249,3489034.5
5433.457519531249,3421021.0
5434.707519531249,3347163.8
5435.957519531249,3370160.2
5437.207519531249,3477597.2
5438.457519531249,3592023.2
5439.707519531249,3650507.5
5440.957519531249,3642181.2
5442.207519531249,3633297.5
5443.457519531249,3611298.8
5444.707519531249,3502305.0
5445.957519531249,3334751.0
5447.207519531249,3269143.0
5448.457519531249,3430340.5
5449.707519531249,3595111.0
5450.957519531249,3626543.5
5452.207519531249,3607750.0
5453.457519531249,3562460.8
